1500 100
1 1 6
1 2 2
1 3 3
1 4 1
1 5 7
1 6 7
1 7 9
1 8 2
1 9 3
1 10 2
1 11 6
1 12 2
1 13 1
1 14 9
1 15 2
1 16 8
1 17 8
1 18 1
1 19 5
1 20 5
1 21 7
1 22 7
1 23 8
1 24 4
1 25 3
1 26 7
1 27 5
1 28 2
1 29 4
1 30 10
1 31 10
1 32 6
1 33 3
1 34 4
1 35 4
1 36 5
1 37 2
1 38 8
1 39 7
1 40 10
1 41 7
1 42 5
1 43 5
1 44 2
1 45 8
1 46 3
1 47 2
1 48 8
1 49 1
1 50 2
1 51 7
1 52 8
1 53 7
1 54 5
1 55 10
1 56 3
1 57 10
1 58 9
1 59 2
1 60 6
1 61 7
1 62 4
1 63 4
1 64 8
1 65 5
1 66 4
1 67 6
1 68 9
1 69 5
1 70 8
1 71 2
1 72 3
1 73 7
1 74 10
1 75 1
1 76 3
1 77 5
1 78 6
1 79 8
1 80 2
1 81 9
1 82 3
1 83 9
1 84 3
1 85 1
1 86 6
1 87 3
1 88 4
1 89 3
1 90 9
1 91 5
1 92 3
1 93 2
1 94 7
1 95 2
1 96 9
1 97 10
1 98 7
1 99 5
1 100 1
2 1 3
2 2 9
2 3 3
2 4 3
2 5 2
2 6 3
2 7 2
2 8 6
2 9 2
2 10 2
2 11 2
2 12 3
2 13 9
2 14 6
2 15 1
2 16 7
2 17 2
2 18 7
2 19 3
2 20 7
2 21 7
2 22 5
2 23 10
2 24 2
2 25 6
2 26 5
2 27 3
2 28 5
2 29 4
2 30 6
2 31 9
2 32 10
2 33 5
2 34 8
2 35 1
2 36 6
2 37 3
2 38 4
2 39 8
2 40 1
2 41 6
2 42 7
2 43 2
2 44 3
2 45 5
2 46 6
2 47 5
2 48 4
2 49 2
2 50 10
2 51 5
2 52 3
2 53 9
2 54 3
2 55 5
2 56 4
2 57 2
2 58 3
2 59 9
2 60 1
2 61 5
2 62 5
2 63 2
2 64 6
2 65 2
2 66 9
2 67 10
2 68 9
2 69 6
2 70 9
2 71 5
2 72 7
2 73 3
2 74 4
2 75 1
2 76 4
2 77 8
2 78 9
2 79 9
2 80 4
2 81 6
2 82 3
2 83 4
2 84 1
2 85 8
2 86 9
2 87 5
2 88 4
2 89 7
2 90 7
2 91 9
2 92 6
2 93 10
2 94 4
2 95 10
2 96 4
2 97 1
2 98 7
2 99 10
2 100 5
3 1 6
3 2 10
3 3 1
3 4 7
3 5 4
3 6 9
3 7 5
3 8 7
3 9 5
3 10 5
3 11 5
3 12 9
3 13 5
3 14 3
3 15 9
3 16 6
3 17 5
3 18 5
3 19 8
3 20 8
3 21 1
3 22 9
3 23 9
3 24 5
3 25 4
3 26 1
3 27 8
3 28 5
3 29 1
3 30 2
3 31 3
3 32 1
3 33 10
3 34 3
3 35 9
3 36 7
3 37 4
3 38 4
3 39 7
3 40 5
3 41 5
3 42 10
3 43 2
3 44 7
3 45 6
3 46 2
3 47 1
3 48 10
3 49 7
3 50 3
3 51 9
3 52 2
3 53 7
3 54 1
3 55 8
3 56 2
3 57 7
3 58 4
3 59 2
3 60 5
3 61 2
3 62 4
3 63 5
3 64 6
3 65 9
3 66 3
3 67 1
3 68 4
3 69 10
3 70 6
3 71 10
3 72 8
3 73 5
3 74 9
3 75 2
3 76 8
3 77 7
3 78 10
3 79 2
3 80 9
3 81 3
3 82 6
3 83 8
3 84 5
3 85 7
3 86 6
3 87 10
3 88 7
3 89 2
3 90 6
3 91 3
3 92 9
3 93 7
3 94 4
3 95 9
3 96 4
3 97 10
3 98 1
3 99 10
3 100 1
4 1 5
4 2 4
4 3 2
4 4 9
4 5 5
4 6 2
4 7 7
4 8 6
4 9 2
4 10 8
4 11 5
4 12 6
4 13 7
4 14 3
4 15 6
4 16 8
4 17 7
4 18 8
4 19 5
4 20 8
4 21 7
4 22 8
4 23 10
4 24 3
4 25 4
4 26 8
4 27 5
4 28 3
4 29 10
4 30 10
4 31 9
4 32 10
4 33 7
4 34 3
4 35 3
4 36 7
4 37 2
4 38 1
4 39 1
4 40 3
4 41 5
4 42 4
4 43 1
4 44 10
4 45 8
4 46 6
4 47 7
4 48 2
4 49 10
4 50 7
4 51 4
4 52 9
4 53 6
4 54 8
4 55 3
4 56 10
4 57 4
4 58 8
4 59 6
4 60 2
4 61 6
4 62 6
4 63 2
4 64 4
4 65 3
4 66 3
4 67 2
4 68 6
4 69 2
4 70 8
4 71 6
4 72 3
4 73 4
4 74 6
4 75 6
4 76 10
4 77 3
4 78 1
4 79 5
4 80 1
4 81 5
4 82 7
4 83 4
4 84 8
4 85 5
4 86 10
