250 15
1 1 1
1 2 3
1 3 4
1 4 2
1 5 1
1 6 1
1 7 5
1 8 3
1 9 7
1 10 10
1 11 5
1 12 9
1 13 2
1 14 8
1 15 6
2 1 9
2 2 1
2 3 5
2 4 7
2 5 8
2 6 10
2 7 1
2 8 9
2 9 6
2 10 5
2 11 2
2 12 3
2 13 1
2 14 4
2 15 10
3 1 3
3 2 4
3 3 1
3 4 1
3 5 5
3 6 6
3 7 7
3 8 9
3 9 6
3 10 1
3 11 4
3 12 10
3 13 3
3 14 6
3 15 8
4 1 8
4 2 8
4 3 7
4 4 5
4 5 1
4 6 5
4 7 3
4 8 2
4 9 1
4 10 1
4 11 6
4 12 5
4 13 6
4 14 7
4 15 4
5 1 10
5 2 5
5 3 7
5 4 4
5 5 8
5 6 3
5 7 8
5 8 1
5 9 4
5 10 6
5 11 3
5 12 5
5 13 3
5 14 9
5 15 9
6 1 2
6 2 8
6 3 10
6 4 10
6 5 8
6 6 8
6 7 2
6 8 2
6 9 3
6 10 10
6 11 1
6 12 10
6 13 4
6 14 7
6 15 10
7 1 4
7 2 5
7 3 7
7 4 1
7 5 7
7 6 1
7 7 10
7 8 6
7 9 6
7 10 6
7 11 8
7 12 4
7 13 2
7 14 9
7 15 2
8 1 10
8 2 4
8 3 4
8 4 4
8 5 5
8 6 6
8 7 9
8 8 9
8 9 9
8 10 6
8 11 10
8 12 2
8 13 5
8 14 1
8 15 7
9 1 6
9 2 2
9 3 6
9 4 8
9 5 9
9 6 9
9 7 10
9 8 7
9 9 7
9 10 6
9 11 3
9 12 1
9 13 10
9 14 7
9 15 2
10 1 2
10 2 6
10 3 4
10 4 7
10 5 8
10 6 8
10 7 3
10 8 10
10 9 4
10 10 3
10 11 1
10 12 5
10 13 9
10 14 7
10 15 6
11 1 2
11 2 7
11 3 5
11 4 10
11 5 3
11 6 5
11 7 6
11 8 1
11 9 8
11 10 1
11 11 9
11 12 6
11 13 5
11 14 2
11 15 5
12 1 10
12 2 8
12 3 4
12 4 6
12 5 4
12 6 8
12 7 4
12 8 10
12 9 4
12 10 1
12 11 8
12 12 2
12 13 3
12 14 7
12 15 4
13 1 10
13 2 9
13 3 3
13 4 10
13 5 8
13 6 9
13 7 4
13 8 7
13 9 2
13 10 1
13 11 10
13 12 9
13 13 10
13 14 6
13 15 3
14 1 8
14 2 3
14 3 9
14 4 6
14 5 3
14 6 2
14 7 3
14 8 1
14 9 7
14 10 4
14 11 5
14 12 9
14 13 3
14 14 1
14 15 2
15 1 8
15 2 9
15 3 2
15 4 2
15 5 3
15 6 1
15 7 1
15 8 7
15 9 6
15 10 6
15 11 2
15 12 6
15 13 6
15 14 10
15 15 10
16 1 10
16 2 7
16 3 3
16 4 8
16 5 1
16 6 2
16 7 2
16 8 5
16 9 1
16 10 6
16 11 9
16 12 6
16 13 5
16 14 6
16 15 3
17 1 1
17 2 4
17 3 6
17 4 2
17 5 3
17 6 4
17 7 5
17 8 6
17 9 9
17 10 6
17 11 5
17 12 7
17 13 6
17 14 10
17 15 2
18 1 7
18 2 1
18 3 1
18 4 3
18 5 4
18 6 7
18 7 3
18 8 5
18 9 1
18 10 2
18 11 9
18 12 6
18 13 5
18 14 8
18 15 9
19 1 4
19 2 4
19 3 4
19 4 8
19 5 1
19 6 9
19 7 8
19 8 9
19 9 3
19 10 7
19 11 9
19 12 2
19 13 5
19 14 10
19 15 6
20 1 4
20 2 1
20 3 2
20 4 7
20 5 8
20 6 10
20 7 4
20 8 7
20 9 4
20 10 1
20 11 7
20 12 1
20 13 8
20 14 4
20 15 10
21 1 1
21 2 6
21 3 8
21 4 6
21 5 6
21 6 4
21 7 4
21 8 8
21 9 7
21 10 6
21 11 1
21 12 8
21 13 10
21 14 6
21 15 5
22 1 6
22 2 10
22 3 3
22 4 5
22 5 7
22 6 5
22 7 2
22 8 2
22 9 7
22 10 1
22 11 7
22 12 6
22 13 5
22 14 9
22 15 9
23 1 1
23 2 6
23 3 6
23 4 6
23 5 7
23 6 9
23 7 1
23 8 9
23 9 2
23 10 1
23 11 10
23 12 7
23 13 8
23 14 7
23 15 6
24 1 2
24 2 7
24 3 9
24 4 7
24 5 6
24 6 9
24 7 5
24 8 10
24 9 4
24 10 1
24 11 6
24 12 3
24 13 9
24 14 4
24 15 1
25 1 7
25 2 9
25 3 4
25 4 1
25 5 4
25 6 9
25 7 9
25 8 1
25 9 8
25 10 3
25 11 10
25 12 4
25 13 5
25 14 7
25 15 8
26 1 3
26 2 3
26 3 7
26 4 1
26 5 3
26 6 2
26 7 8
26 8 3
26 9 3
26 10 3
26 11 10
26 12 10
26 13 3
26 14 8
26 15 9
27 1 10
27 2 4
27 3 1
27 4 9
27 5 4
27 6 7
27 7 3
27 8 1
27 9 8
27 10 8
27 11 1
27 12 3
27 13 10
27 14 6
27 15 7
28 1 1
28 2 5
28 3 10
28 4 9
28 5 7
28 6 1
28 7 10
28 8 2
28 9 6
28 10 7
28 11 5
28 12 8
