1000 50
1 1 9
1 2 1
1 3 2
1 4 5
1 5 7
1 6 6
1 7 9
1 8 1
1 9 4
1 10 2
1 11 8
1 12 2
1 13 1
1 14 2
1 15 2
1 16 2
1 17 5
1 18 3
1 19 7
1 20 8
1 21 4
1 22 4
1 23 3
1 24 3
1 25 1
1 26 4
1 27 2
1 28 2
1 29 7
1 30 2
1 31 10
1 32 9
1 33 10
1 34 10
1 35 3
1 36 6
1 37 3
1 38 4
1 39 8
1 40 9
1 41 9
1 42 2
1 43 4
1 44 2
1 45 2
1 46 5
1 47 5
1 48 4
1 49 10
1 50 10
2 1 5
2 2 4
2 3 5
2 4 8
2 5 5
2 6 3
2 7 5
2 8 7
2 9 1
2 10 9
2 11 8
2 12 6
2 13 7
2 14 6
2 15 1
2 16 7
2 17 4
2 18 6
2 19 9
2 20 8
2 21 3
2 22 4
2 23 8
2 24 6
2 25 8
2 26 3
2 27 3
2 28 6
2 29 9
2 30 8
2 31 2
2 32 1
2 33 7
2 34 4
2 35 9
2 36 2
2 37 8
2 38 9
2 39 1
2 40 5
2 41 4
2 42 3
2 43 4
2 44 6
2 45 2
2 46 9
2 47 1
2 48 9
2 49 4
2 50 5
3 1 8
3 2 2
3 3 3
3 4 4
3 5 6
3 6 2
3 7 7
3 8 7
3 9 7
3 10 5
3 11 2
3 12 2
3 13 10
3 14 6
3 15 10
3 16 10
3 17 7
3 18 2
3 19 2
3 20 4
3 21 6
3 22 10
3 23 9
3 24 4
3 25 2
3 26 10
3 27 7
3 28 5
3 29 9
3 30 4
3 31 4
3 32 7
3 33 8
3 34 9
3 35 5
3 36 6
3 37 4
3 38 4
3 39 7
3 40 9
3 41 2
3 42 4
3 43 1
3 44 10
3 45 3
3 46 5
3 47 8
3 48 9
3 49 2
3 50 7
4 1 5
4 2 7
4 3 5
4 4 10
4 5 9
4 6 8
4 7 5
4 8 2
4 9 7
4 10 8
4 11 2
4 12 7
4 13 2
4 14 2
4 15 2
4 16 3
4 17 4
4 18 1
4 19 4
4 20 3
4 21 1
4 22 2
4 23 9
4 24 7
4 25 9
4 26 9
4 27 7
4 28 9
4 29 10
4 30 1
4 31 5
4 32 1
4 33 4
4 34 7
4 35 9
4 36 10
4 37 2
4 38 3
4 39 10
4 40 7
4 41 4
4 42 2
4 43 1
4 44 4
4 45 3
4 46 8
4 47 7
4 48 6
4 49 10
4 50 8
5 1 9
5 2 5
5 3 7
5 4 8
5 5 3
5 6 9
5 7 2
5 8 9
5 9 9
5 10 4
5 11 6
5 12 1
5 13 3
5 14 6
5 15 6
5 16 10
5 17 3
5 18 2
5 19 1
5 20 7
5 21 2
5 22 3
5 23 8
5 24 2
5 25 7
5 26 1
5 27 3
5 28 9
5 29 10
5 30 5
5 31 8
5 32 5
5 33 1
5 34 2
5 35 8
5 36 2
5 37 1
5 38 1
5 39 10
5 40 4
5 41 9
5 42 9
5 43 10
5 44 8
5 45 10
5 46 9
5 47 7
5 48 2
5 49 6
5 50 10
6 1 4
6 2 9
6 3 10
6 4 4
6 5 9
6 6 5
6 7 3
6 8 9
6 9 10
6 10 9
6 11 4
6 12 4
6 13 2
6 14 1
6 15 1
6 16 7
6 17 8
6 18 2
6 19 8
6 20 5
6 21 7
6 22 7
6 23 1
6 24 2
6 25 2
6 26 2
6 27 9
6 28 10
6 29 6
6 30 8
6 31 7
6 32 7
6 33 1
6 34 6
6 35 1
6 36 9
6 37 9
6 38 5
6 39 9
6 40 8
6 41 4
6 42 8
6 43 9
6 44 5
6 45 3
6 46 3
6 47 7
6 48 10
6 49 3
6 50 7
7 1 7
7 2 9
7 3 9
7 4 3
7 5 1
7 6 7
7 7 2
7 8 10
7 9 3
7 10 4
7 11 7
7 12 1
7 13 3
7 14 6
7 15 1
7 16 3
7 17 3
7 18 9
7 19 5
7 20 7
7 21 8
7 22 10
7 23 1
7 24 3
7 25 4
7 26 1
7 27 7
7 28 3
7 29 2
7 30 5
7 31 8
7 32 4
7 33 3
7 34 1
7 35 1
7 36 4
7 37 1
7 38 9
7 39 6
7 40 2
7 41 5
7 42 10
7 43 4
7 44 7
7 45 1
7 46 7
7 47 7
7 48 8
7 49 7
7 50 10
8 1 2
8 2 9
8 3 2
8 4 4
8 5 2
8 6 9
8 7 5
8 8 3
8 9 3
8 10 2
8 11 1
8 12 9
8 13 1
8 14 10
8 15 5
8 16 4
8 17 3
8 18 4
8 19 2
8 20 10
8 21 2
8 22 5
8 23 8
8 24 3
8 25 7
8 26 9
8 27 3
8 28 2
8 29 3
8 30 2
8 31 10
8 32 10
8 33 2
8 34 4
8 35 3
8 36 4
8 37 3
8 38 5
8 39 1
8 40 1
8 41 4
8 42 10
8 43 2
8 44 3
8 45 1
8 46 3
8 47 6
8 48 6
8 49 10
8 50 2
9 1 4
9 2 4
