5000 20
1 1 9
1 2 10
1 3 1
1 4 3
1 5 4
1 6 7
1 7 5
1 8 9
1 9 6
1 10 10
1 11 4
1 12 10
1 13 5
1 14 1
1 15 2
1 16 4
1 17 1
1 18 3
1 19 9
1 20 2
2 1 9
2 2 5
2 3 7
2 4 1
2 5 3
2 6 7
2 7 9
2 8 4
2 9 8
2 10 5
2 11 3
2 12 7
2 13 6
2 14 9
2 15 10
2 16 3
2 17 7
2 18 2
2 19 6
2 20 7
3 1 8
3 2 6
3 3 9
3 4 2
3 5 4
3 6 1
3 7 4
3 8 4
3 9 9
3 10 1
3 11 1
3 12 6
3 13 2
3 14 6
3 15 5
3 16 5
3 17 10
3 18 1
3 19 7
3 20 7
4 1 4
4 2 6
4 3 4
4 4 4
4 5 2
4 6 4
4 7 6
4 8 9
4 9 2
4 10 6
4 11 5
4 12 8
4 13 6
4 14 6
4 15 1
4 16 4
4 17 8
4 18 4
4 19 2
4 20 3
5 1 5
5 2 2
5 3 1
5 4 10
5 5 2
5 6 7
5 7 4
5 8 9
5 9 10
5 10 7
5 11 5
5 12 10
5 13 2
5 14 6
5 15 7
5 16 9
5 17 5
5 18 6
5 19 6
5 20 4
6 1 9
6 2 8
6 3 1
6 4 6
6 5 9
6 6 5
6 7 10
6 8 2
6 9 10
6 10 8
6 11 3
6 12 3
6 13 5
6 14 4
6 15 2
6 16 6
6 17 6
6 18 4
6 19 5
6 20 2
7 1 8
7 2 10
7 3 4
7 4 3
7 5 2
7 6 4
7 7 6
7 8 7
7 9 3
7 10 10
7 11 2
7 12 2
7 13 9
7 14 5
7 15 3
7 16 7
7 17 5
7 18 9
7 19 8
7 20 2
8 1 6
8 2 9
8 3 9
8 4 3
8 5 1
8 6 9
8 7 1
8 8 5
8 9 6
8 10 1
8 11 2
8 12 8
8 13 8
8 14 3
8 15 1
8 16 3
8 17 10
8 18 9
8 19 6
8 20 8
9 1 6
9 2 8
9 3 9
9 4 9
9 5 10
9 6 5
9 7 9
9 8 4
9 9 2
9 10 9
9 11 4
9 12 3
9 13 5
9 14 2
9 15 9
9 16 5
9 17 1
9 18 7
9 19 8
9 20 8
10 1 1
10 2 10
10 3 4
10 4 7
10 5 6
10 6 6
10 7 7
10 8 2
10 9 6
10 10 10
10 11 2
10 12 2
10 13 10
10 14 7
10 15 5
10 16 2
10 17 1
10 18 6
10 19 4
10 20 10
11 1 10
11 2 10
11 3 8
11 4 2
11 5 3
11 6 10
11 7 9
11 8 7
11 9 7
11 10 9
11 11 1
11 12 3
11 13 7
11 14 4
11 15 8
11 16 7
11 17 5
11 18 1
11 19 3
11 20 2
12 1 8
12 2 8
12 3 10
12 4 8
12 5 1
12 6 2
12 7 10
12 8 1
12 9 9
12 10 1
12 11 10
12 12 5
12 13 10
12 14 6
12 15 9
12 16 9
12 17 5
12 18 6
12 19 4
12 20 4
13 1 4
13 2 1
13 3 1
13 4 2
13 5 2
13 6 10
13 7 3
13 8 3
13 9 10
13 10 3
13 11 6
13 12 4
13 13 6
13 14 5
13 15 5
13 16 4
13 17 5
13 18 5
13 19 10
13 20 3
14 1 9
14 2 7
14 3 4
14 4 9
14 5 6
14 6 2
14 7 10
14 8 2
14 9 7
14 10 4
14 11 7
14 12 4
14 13 3
14 14 3
14 15 8
14 16 7
14 17 2
14 18 3
14 19 10
14 20 2
15 1 3
15 2 10
15 3 8
15 4 2
15 5 5
15 6 5
15 7 1
15 8 10
15 9 1
15 10 4
15 11 4
15 12 6
15 13 2
15 14 7
15 15 4
15 16 2
15 17 3
15 18 8
15 19 4
15 20 5
16 1 4
16 2 8
16 3 7
16 4 6
16 5 6
16 6 8
16 7 7
16 8 5
16 9 3
16 10 1
16 11 7
16 12 1
16 13 3
16 14 4
16 15 6
16 16 7
16 17 7
16 18 1
16 19 1
16 20 9
17 1 5
17 2 10
17 3 6
17 4 6
17 5 8
17 6 6
17 7 1
17 8 1
17 9 4
17 10 1
17 11 6
17 12 8
17 13 6
17 14 6
17 15 9
17 16 4
17 17 10
17 18 5
17 19 3
17 20 9
18 1 4
18 2 4
18 3 7
18 4 3
18 5 4
18 6 9
18 7 10
18 8 3
18 9 4
18 10 8
18 11 7
18 12 5
18 13 4
18 14 8
18 15 7
18 16 8
18 17 4
18 18 4
18 19 2
18 20 10
19 1 3
19 2 10
19 3 5
19 4 4
19 5 7
19 6 10
19 7 2
19 8 4
19 9 9
19 10 10
19 11 7
19 12 7
19 13 10
19 14 9
19 15 2
19 16 7
19 17 4
19 18 10
19 19 8
19 20 6
20 1 2
20 2 4
20 3 6
20 4 5
20 5 5
20 6 5
20 7 5
20 8 2
20 9 5
20 10 9
20 11 6
20 12 1
20 13 5
20 14 1
20 15 1
20 16 6
20 17 5
20 18 8
20 19 9
20 20 5
21 1 9
21 2 5
21 3 2
21 4 3
21 5 7
21 6 1
21 7 3
21 8 8
21 9 7
21 10 1
21 11 3
21 12 9
21 13 1
21 14 8
21 15 5
21 16 7
21 17 10
21 18 9
21 19 5
21 20 2
22 1 3
22 2 10
22 3 8
22 4 5
22 5 9
22 6 8
22 7 7
22 8 6
22 9 10
22 10 6
22 11 6
22 12 7
22 13 8
22 14 1
22 15 6
22 16 5
22 17 6
22 18 10
22 19 6
22 20 9
23 1 9
23 2 7
23 3 8
23 4 8
23 5 2
23 6 9
23 7 9
23 8 7
23 9 1
23 10 8
23 11 7
23 12 4
23 13 5
23 14 8
23 15 4
23 16 3
23 17 4
23 18 4
23 19 3
23 20 6
24 1 1
24 2 2
24 3 10
24 4 9
24 5 6
24 6 10
24 7 2
24 8 2
24 9 7
24 10 3
24 11 6
24 12 7
24 13 10
24 14 1
24 15 5
24 16 1
24 17 6
24 18 7
24 19 3
24 20 6
25 1 9
25 2 8
25 3 1
25 4 1
25 5 7
25 6 5
25 7 3
25 8 1
25 9 3
25 10 8
25 11 9
25 12 5
25 13 7
25 14 6
25 15 4
25 16 9
25 17 7
25 18 6
25 19 2
25 20 3
26 1 10
26 2 3
26 3 4
26 4 8
26 5 10
26 6 9
26 7 8
26 8 1
26 9 5
26 10 1
26 11 3
26 12 6
26 13 7
26 14 7
26 15 3
26 16 6
26 17 7
26 18 6
26 19 9
26 20 5
27 1 10
27 2 3
27 3 8
27 4 7
27 5 10
27 6 1
27 7 1
27 8 9
27 9 8
27 10 9
27 11 9
27 12 3
27 13 1
27 14 4
27 15 6
27 16 2
27 17 6
27 18 6
27 19 6
27 20 9
28 1 6
28 2 6
28 3 8
28 4 9
28 5 1
28 6 5
28 7 1
28 8 5
28 9 3
28 10 4
28 11 4
28 12 2
28 13 6
28 14 4
28 15 1
28 16 10
28 17 5
28 18 6
28 19 2
28 20 4
29 1 7
29 2 10
29 3 9
29 4 3
29 5 10
29 6 1
29 7 6
29 8 4
29 9 10
29 10 3
29 11 7
29 12 6
29 13 7
29 14 6
29 15 10
29 16 6
29 17 8
29 18 8
29 19 2
29 20 6
30 1 8
30 2 7
30 3 5
30 4 10
30 5 9
30 6 9
30 7 1
30 8 7
30 9 2
30 10 8
30 11 6
30 12 4
30 13 3
30 14 2
30 15 9
30 16 6
30 17 10
30 18 5
30 19 7
30 20 8
31 1 3
31 2 6
31 3 2
31 4 9
31 5 8
31 6 1
31 7 8
31 8 5
31 9 10
31 10 8
31 11 4
31 12 3
31 13 2
31 14 8
31 15 5
31 16 5
31 17 5
31 18 8
31 19 7
31 20 8
32 1 9
32 2 7
32 3 6
32 4 9
32 5 1
32 6 1
32 7 4
32 8 1
32 9 1
32 10 2
32 11 1
32 12 8
32 13 2
32 14 8
32 15 10
32 16 7
32 17 3
32 18 10
32 19 8
32 20 4
33 1 9
33 2 1
33 3 4
33 4 9
33 5 2
33 6 10
33 7 7
33 8 1
33 9 10
33 10 8
33 11 7
33 12 10
33 13 6
33 14 10
33 15 10
33 16 3
33 17 3
33 18 5
33 19 7
33 20 5
34 1 6
34 2 5
34 3 3
34 4 9
34 5 3
34 6 6
34 7 2
34 8 5
34 9 6
34 10 2
34 11 1
34 12 8
34 13 1
34 14 3
34 15 10
34 16 7
34 17 6
34 18 5
34 19 10
34 20 5
35 1 10
35 2 8
35 3 1
35 4 9
35 5 1
35 6 1
35 7 9
35 8 3
35 9 3
35 10 10
35 11 7
35 12 3
35 13 4
35 14 1
35 15 4
35 16 7
35 17 2
35 18 6
35 19 5
35 20 8
36 1 1
36 2 8
36 3 8
36 4 7
36 5 10
36 6 2
36 7 6
36 8 3
36 9 9
36 10 5
36 11 4
36 12 9
36 13 7
36 14 5
36 15 2
36 16 5
36 17 10
36 18 8
36 19 1
36 20 10
37 1 8
37 2 1
37 3 2
37 4 7
37 5 3
37 6 8
37 7 7
37 8 3
37 9 4
37 10 5
37 11 8
37 12 1
37 13 2
37 14 3
37 15 5
37 16 6
37 17 8
37 18 8
37 19 1
37 20 5
38 1 3
38 2 1
38 3 5
38 4 7
38 5 3
38 6 1
38 7 4
38 8 1
38 9 6
38 10 7
38 11 9
38 12 4
38 13 1
38 14 6
38 15 5
38 16 1
38 17 3
38 18 6
38 19 5
38 20 7
39 1 6
39 2 10
39 3 10
39 4 10
39 5 10
39 6 1
39 7 5
39 8 7
39 9 10
39 10 6
39 11 6
39 12 3
39 13 8
39 14 4
39 15 4
